hyprpaper-git 0.7.4.r4.g05337a4-1
hyprpicker-git 0.4.5.r0.g980ebd4-1
hyprpolkitagent-git 0.1.2.r3.g352638e-1
hyprshot 1.3.0-3
hyprsunset-git 0.2.0.r0.g7b7339f-1
hyprsysteminfo-git 0.1.3.r2.g6769e50-1
hyprutils-git 0.7.0.r0.g05878d9-1
hyprwayland-scanner-git 0.4.4.r2.g206367a-1
iana-etc 20250612-1
icu 76.1-1
iio-sensor-proxy 3.7-1
ijs 0.35-6
imagemagick 7.1.1.47-2
imath 3.1.12-4
imlib2 1.12.5-1
iniparser 4.2.6-2
intel-ucode 20250512-1
iproute2 6.15.0-1
iptables 1:1.8.11-2
iputils 20250605-1
ipython 9.4.0-1
iso-codes 4.18.0-1
iwd 3.9-1
jansson 2.14.1-1
jasper 4.2.5-1
java-environment-common 3-6
java-rhino 1.7.15-1
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk21-openjdk 21.0.7.u6-1
jdk8-openjdk 8.452.u09-1
jq 1.8.1-1
jre8-openjdk 8.452.u09-1
jre8-openjdk-headless 8.452.u09-1
js128 128.11.0-1
json-c 0.18-2
json-glib 1.10.6-1
jsoncpp 1.9.6-3
jupyter-nbclient 0.10.2-2
jupyter-nbconvert 7.16.6-1
jupyter-nbformat 5.10.4-3
jupyter-notebook-shim 0.2.4-3
jupyter-server 2.16.0-1
jupyterlab 4.4.4-1
jupyterlab-pygments 0.3.0-3
karchive 6.16.0-1
kauth 6.16.0-1
kbd 2.8.0-1
kbookmarks 6.16.0-1
kcmutils 6.16.0-1
kcodecs 6.16.0-1
kcolorscheme 6.16.0-1
kcompletion 6.16.0-1
kconfig 6.16.0-1
kconfigwidgets 6.16.0-1
kcontacts 1:6.16.0-1
kcoreaddons 6.16.0-1
kcrash 6.16.0-1
kdbusaddons 6.16.0-1
kdeclarative 6.16.0-1
kdeconnect 25.04.3-1
kdoctools 6.16.0-1
keyutils 1.6.3-3
kglobalaccel 6.16.0-1
kguiaddons 6.16.0-1
ki18n 6.16.0-1
kiconthemes 6.16.0-1
kio 6.16.0-1
kirigami 6.16.0-1
kirigami-addons 1.9.0-1
kitemmodels 6.16.0-1
kitemviews 6.16.0-1
kitty 0.42.1-1
kitty-shell-integration 0.42.1-1
kitty-terminfo 0.42.1-1
kjobwidgets 6.16.0-1
kmod 34.2-1
knotifications 6.16.0-1
kooha 2.3.0-6
kpeople 6.16.0-1
krb5 1.21.3-2
kservice 6.16.0-1
kstatusnotifieritem 6.16.0-1
ksvg 6.16.0-1
kwallet 6.16.0-1
kwidgetsaddons 6.16.0-1
kwindowsystem 6.16.0-1
kxmlgui 6.16.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
lazygit 0.53.0-1
lcms2 2.17-1
ldb 2:4.22.3-1
leancrypto 1.5.0-1
less 1:668-1
libabw 0.1.3-5
libadwaita 1:1.7.5-1
libajantv2 1:17.1.0-2
libajantv2-debug 1:17.1.0-2
libao 1.2.2-6
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.8.1-1
libass 0.17.3-1
libassuan 3.0.0-1
libastal-4-git r823.2c5eb54-1
libastal-4-git-debug r823.2c5eb54-1
libastal-apps-git r823.2c5eb54-1
libastal-apps-git-debug r823.2c5eb54-1
libastal-auth-git r732.cb1578a-1
libastal-battery-git r823.2c5eb54-1
libastal-battery-git-debug r823.2c5eb54-1
libastal-bluetooth-git r823.2c5eb54-1
libastal-bluetooth-git-debug r823.2c5eb54-1
